gene_name	day_7_rightvsday_7_left_log2FoldChange	day_7_rightvsday_7_left_padj	day_7_rightvsday_7_naive_log2FoldChange	day_7_rightvsday_7_naive_padj	ID
Gnai3	0.146832402381052	0.448338286142031	0.300179774889839	0.00932626070014027	ENSMUSG00000000001
Pbsn	NA	NA	NA	NA	ENSMUSG00000000003
Cdc45	-0.373003419157391	0.0191801565405577	-0.270972729359922	0.0360067846618392	ENSMUSG00000000028
H19	2.98261728803784	4.91532344750822e-22	2.63792844951978	2.56315355211834e-24	ENSMUSG00000000031
Scml2	-0.226041387129991	0.619835490121173	0.201071791447096	0.582718070447157	ENSMUSG00000000037
Apoh	-0.0853231225199034	NA	0.300011998505255	NA	ENSMUSG00000000049
Narf	-0.126536934428822	0.580018563165448	-0.158787972119482	0.284566770329334	ENSMUSG00000000056
Cav2	0.497830900101979	0.033511512999255	0.438537815709654	0.0141708756861984	ENSMUSG00000000058
Klf6	0.23223046975869	0.164947458032489	0.421343413743728	7.90146540691556e-05	ENSMUSG00000000078
Scmh1	0.21963563936366	0.293354490874782	0.199043438787777	0.191350864711736	ENSMUSG00000000085
Cox5a	-0.154911412106346	0.686861575577714	-0.28363814321899	0.223372116408707	ENSMUSG00000000088
Tbx2	-0.0856040351731418	0.807090011284193	0.0461855731835772	0.86285470307508	ENSMUSG00000000093
Tbx4	1.26480658104574	5.7731962531663e-06	1.05136138328759	9.91463686142305e-07	ENSMUSG00000000094
Zfy2	NA	NA	NA	NA	ENSMUSG00000000103
Ngfr	0.885972985769278	0.0460702961831407	0.773820009105441	0.0350432246365196	ENSMUSG00000000120
Wnt3	0	NA	-0.190229299452086	NA	ENSMUSG00000000125
Wnt9a	1.77796387908493	2.07152534646742e-07	1.82422230577502	1.52384014783346e-11	ENSMUSG00000000126
Fer	0.508523818773043	0.000256908733517782	0.509757788245882	1.41813946750219e-06	ENSMUSG00000000127
Xpo6	0.138570405937913	0.241240171153598	0.257559505261076	0.000564790558264875	ENSMUSG00000000131
Tfe3	0.0925360227842781	0.783053557425021	0.126121953033396	0.547300126502499	ENSMUSG00000000134
Axin2	0.25842790096978	0.545278573786558	0.16057988430298	0.616660080757755	ENSMUSG00000000142
Brat1	0.129267763644329	0.625430043161647	0.153473127290381	0.368722503696543	ENSMUSG00000000148
Gna12	0.128098384950489	0.406180296761441	0.139475671505149	0.182732569249691	ENSMUSG00000000149
Slc22a18	-0.0714053976689861	0.892490312629953	0.0733992949275871	0.858999253524866	ENSMUSG00000000154
Itgb2l	-0.751851291203921	5.2778070921873e-06	-0.445873803132229	0.0014263726454308	ENSMUSG00000000157
Igsf5	0.16470122278889	0.696790948460152	-0.159810771141776	0.733223648137784	ENSMUSG00000000159
Pih1d2	-0.347432722286013	0.444515637544635	-0.28767819265892	0.417776910074718	ENSMUSG00000000167
Dlat	-0.073471636134869	0.85329655324782	-0.0523704968898001	0.85164815745085	ENSMUSG00000000168
Sdhd	-0.00158020244700891	0.996281388339001	-0.0490563930155104	0.827858199368223	ENSMUSG00000000171
Fgf23	0.146801932739736	0.838636563437717	-0.112850477987833	0.907985729454407	ENSMUSG00000000182
Fgf6	-0.179575979746405	0.819921744923931	-0.641021415495144	0.147433339264845	ENSMUSG00000000183
Ccnd2	0.3553565431829	0.0770666611050013	0.394267368889561	0.00615439567962781	ENSMUSG00000000184
Gpr107	0.203616160138556	0.514890597713496	0.0894324327122685	0.716075242933929	ENSMUSG00000000194
Nalcn	0.237456019855006	0.609871826662443	-0.114053717622866	0.785736355285499	ENSMUSG00000000197
Btbd17	-0.37836477348685	NA	-0.49710270823096	NA	ENSMUSG00000000202
Slfn4	-0.299218266833543	0.616150215009001	-0.399313036831155	0.397893240315426	ENSMUSG00000000204
Th	0.131447105933446	NA	-0.136574410920265	NA	ENSMUSG00000000214
Ins2	NA	NA	NA	NA	ENSMUSG00000000215
Scnn1g	0	NA	-0.0199851597606181	NA	ENSMUSG00000000216
Drp2	0.389292640733167	0.411712176727135	0.401543985641044	0.260781476048167	ENSMUSG00000000223
Tspan32	-0.547459699260405	0.00229423676149855	-0.392085051852027	0.00750943279108124	ENSMUSG00000000244
Lhx2	0.101094526095865	NA	-0.00258204893823097	0.983118724057007	ENSMUSG00000000247
Clec2g	-0.0461247326213097	0.977240526181099	-0.49278205875225	0.276694357251846	ENSMUSG00000000248
Gmpr	-0.271315189016245	0.559633756803107	-0.317130602137225	0.31881274276254	ENSMUSG00000000253
Glra1	-0.0197598165158206	NA	-0.193748928074535	NA	ENSMUSG00000000263
Mid2	0.837134344000091	0.000417126232758315	0.983311080378993	2.64163646287059e-08	ENSMUSG00000000266
Trim25	-0.291917506964885	0.44256968805519	-0.202018795607175	0.496250691305544	ENSMUSG00000000275
