gene_name	Day42vsDay0_log2FoldChange	Day42vsDay0_padj	ID
Gnai3	-0.117920722217544	0.619403763520031	ENSMUSG00000000001
Pbsn	NA	NA	ENSMUSG00000000003
Cdc45	-0.607820921446479	0.00150433099820261	ENSMUSG00000000028
H19	0.429136883043667	0.251587605887458	ENSMUSG00000000031
Scml2	-0.567579315237998	0.160746347030967	ENSMUSG00000000037
Apoh	0.0490987026791579	NA	ENSMUSG00000000049
Narf	-0.422026101224576	0.137667718157674	ENSMUSG00000000056
Cav2	0.722411062974229	0.0120465002672968	ENSMUSG00000000058
Klf6	-0.132390044511283	0.497889258512657	ENSMUSG00000000078
Scmh1	0.0215282153483415	0.955506844305055	ENSMUSG00000000085
Cox5a	-0.59968731811181	0.00877231426232084	ENSMUSG00000000088
Tbx2	0.513418926883749	0.022687402576485	ENSMUSG00000000093
Tbx4	0.0973253611323714	0.872699599591569	ENSMUSG00000000094
Zfy2	NA	NA	ENSMUSG00000000103
Ngfr	-0.00680022564693852	0.992909997383657	ENSMUSG00000000120
Wnt3	-0.117460362733615	NA	ENSMUSG00000000125
Wnt9a	0.885154211156936	0.0415569362958609	ENSMUSG00000000126
Fer	0.066614177690979	0.846387411497641	ENSMUSG00000000127
Xpo6	-0.0486088071917365	0.879739243598631	ENSMUSG00000000131
Tfe3	-0.115309424464868	0.674800806199368	ENSMUSG00000000134
Axin2	0.513095385363698	0.0926145052106772	ENSMUSG00000000142
Brat1	-0.128560422614434	0.656116089249905	ENSMUSG00000000148
Gna12	0.0630044526719899	0.810850596951345	ENSMUSG00000000149
Slc22a18	0.409030560098096	NA	ENSMUSG00000000154
Itgb2l	-0.667056937847927	0.00659992263816268	ENSMUSG00000000157
Igsf5	-0.00808133457067332	NA	ENSMUSG00000000159
Pih1d2	0.213567477211653	NA	ENSMUSG00000000167
Dlat	-0.0130739560951018	0.976451145098612	ENSMUSG00000000168
Sdhd	-0.187308349286006	0.350911962157905	ENSMUSG00000000171
Fgf23	-0.24033603125986	NA	ENSMUSG00000000182
Fgf6	-0.637415131145534	0.215661503883474	ENSMUSG00000000183
Ccnd2	0.585015588388941	0.00261999219415872	ENSMUSG00000000184
Gpr107	0.203409574848526	0.247842112961017	ENSMUSG00000000194
Nalcn	-0.227296445641636	0.622827831643166	ENSMUSG00000000197
Btbd17	0.0295089490095509	NA	ENSMUSG00000000202
Slfn4	-0.591790252931913	0.00648704172116487	ENSMUSG00000000204
Th	-0.0913941551656254	NA	ENSMUSG00000000214
Ins2	-0.0546436320584619	NA	ENSMUSG00000000215
Scnn1g	-0.0400728355770089	NA	ENSMUSG00000000216
Drp2	-0.824387261431082	0.00841377889525677	ENSMUSG00000000223
Tspan32	-0.6440369787918	0.000264719545654214	ENSMUSG00000000244
Lhx2	0.323981826269388	NA	ENSMUSG00000000247
Clec2g	0.252549581823018	0.669320978652088	ENSMUSG00000000248
Gmpr	-0.26286952233523	0.414638370420262	ENSMUSG00000000253
Glra1	0.179602638870274	NA	ENSMUSG00000000263
Mid2	0.607079420926631	0.00463915165750158	ENSMUSG00000000266
Trim25	-0.118451988489477	0.653740763849692	ENSMUSG00000000275
Dgke	0.297094800049538	0.259879723214015	ENSMUSG00000000276
Scpep1	0.419946744491062	0.0287170757197849	ENSMUSG00000000278
Mnt	0.00718852815106981	0.98162005543741	ENSMUSG00000000282
Itgb2	-0.478719076091508	0.00458543293191026	ENSMUSG00000000290
Hddc2	0.0416932430317003	0.936437061973066	ENSMUSG00000000295
Tpd52l1	0.554265499924407	NA	ENSMUSG00000000296
Pemt	0.0403334977613172	NA	ENSMUSG00000000301
Cdh1	-0.406875854291769	0.31126002126515	ENSMUSG00000000303
Cdh4	0.344875847197729	0.529693706208945	ENSMUSG00000000305
Ckmt1	-0.131576683444133	NA	ENSMUSG00000000308
Bcl6b	0.675210765118751	0.0424047313540554	ENSMUSG00000000317
Clec10a	-0.0929825707707356	0.865574936851746	ENSMUSG00000000318
Alox12	-0.780624857090605	1.18397492243287e-06	ENSMUSG00000000320
Comt	-0.265405210811466	0.150893507730051	ENSMUSG00000000326
Rtca	-0.297183847795799	0.279492383485059	ENSMUSG00000000339
Dbt	0.206491046889982	0.595798899164493	ENSMUSG00000000340
Dazap2	-0.45690262048309	0.000633672092591733	ENSMUSG00000000346
Mcts1	0.172476374329009	0.63022868329244	ENSMUSG00000000355
Rem1	0.740287050936691	0.0750307151768453	ENSMUSG00000000359
Rnf17	-0.543741221433579	NA	ENSMUSG00000000365
Trappc10	-0.261360948012414	0.175757044045528	ENSMUSG00000000374
Ccm2	-0.078560996031614	0.791283740805393	ENSMUSG00000000378
Wap	-0.0201768491336403	NA	ENSMUSG00000000381
Tbrg4	-0.0588852676932293	0.916807366634785	ENSMUSG00000000384
Tmprss2	-0.349662678832327	NA	ENSMUSG00000000385
Mx1	-0.423055180969141	0.0890581053101734	ENSMUSG00000000386
Fap	0.809003138029601	6.51624571894583e-07	ENSMUSG00000000392
Gcg	-0.0173779592220336	NA	ENSMUSG00000000394
Ndufa9	-0.262613408054974	0.19774633741881	ENSMUSG00000000399
Egfl6	-0.242869720197574	0.539795132349977	ENSMUSG00000000402
Lck	-0.655477440659893	0.0279349480788137	ENSMUSG00000000409
Tssk3	-0.0587821211291612	NA	ENSMUSG00000000411
Cttnbp2	0.0919034254796446	0.897454875314089	ENSMUSG00000000416
Galnt1	0.0403145852663518	0.896098861139543	ENSMUSG00000000420
Myf5	NA	NA	ENSMUSG00000000435
Mkrn2	-0.226591754763186	0.436474493862087	ENSMUSG00000000439
Pparg	0.336603071016916	0.471269849543113	ENSMUSG00000000440
Raf1	-0.0951397035531305	0.644281338010033	ENSMUSG00000000441
Septin1	-0.478359900337711	0.109394238777018	ENSMUSG00000000486
Pdgfb	0.549461697824697	0.0326576961625433	ENSMUSG00000000489
Acvrl1	-0.11304151056334	0.657337617248418	ENSMUSG00000000530
Tamalin	0.541204839669717	0.122346277658587	ENSMUSG00000000531
Acvr1b	-0.0325090339342767	0.914681503825896	ENSMUSG00000000532
Tom1l2	0.427494853296862	0.113518665243017	ENSMUSG00000000538
Gpa33	0.0700967399781542	NA	ENSMUSG00000000544
Zfp385a	0.0154289038884038	0.969531645466443	ENSMUSG00000000552
Itga5	0.48501170462506	0.0312440666231029	ENSMUSG00000000555
Gabra2	-0.995553158952785	0.00338012704031312	ENSMUSG00000000560
Wdr77	0.067407786911437	0.831770112753989	ENSMUSG00000000561
Adora3	-0.273066781911531	0.513703343012679	ENSMUSG00000000562
Atp5pb	-0.277243358977432	0.122688346546568	ENSMUSG00000000563
Sox9	1.00732818788399	2.88793201683631e-06	ENSMUSG00000000567
Hnrnpd	-0.590794156809077	7.2632838640949e-05	ENSMUSG00000000568
Dynlt1c	-0.367275754509821	0.196361820366824	ENSMUSG00000000579
C1d	-0.266739044309124	0.31126002126515	ENSMUSG00000000581
Gm2a	0.00282282466660605	0.990834926938969	ENSMUSG00000000594
Krit1	0.1637217804003	0.316109814074638	ENSMUSG00000000600
Clcn4	0.230663441850859	0.350911962157905	ENSMUSG00000000605
Vmn2r88	0.0738222386473271	0.905550099988801	ENSMUSG00000000606
Grm6	-0.153034786227343	NA	ENSMUSG00000000617
Sema4f	-0.514209145159536	0.245252692223056	ENSMUSG00000000627
Hk2	-0.415314402896504	0.00784421781907748	ENSMUSG00000000628
Myo18a	0.13302188821181	0.563362964383055	ENSMUSG00000000631
Sez6	0.249923225803877	NA	ENSMUSG00000000632
Haao	-0.129173235132057	0.782420748655127	ENSMUSG00000000673
Cd52	-0.555311774099807	0.00106233514072228	ENSMUSG00000000682
Abhd15	0.16090850782384	0.712523059531369	ENSMUSG00000000686
Hoxb6	0.613675636612917	NA	ENSMUSG00000000690
Loxl3	0.926681921702678	2.00228606819086e-06	ENSMUSG00000000693
Tcl1b5	NA	NA	ENSMUSG00000000701
Btn1a1	-0.777965276882918	NA	ENSMUSG00000000706
