gene_name	hp199avshpC_log2FoldChange	hp199avshpC_padj	hp199bvshpC_log2FoldChange	hp199bvshpC_padj	ID
TSPAN6	0.115616937923125	0.626776473274287	0.236123493117574	1	ENSG00000000003
TNMD	-0.0201027529161829	NA	-0.0136307660201168	1	ENSG00000000005
DPM1	0.254305518071829	0.282523160458134	0.0603328415802298	1	ENSG00000000419
SCYL3	-0.082913224407413	0.873312437445294	-0.0896022640691635	1	ENSG00000000457
C1orf112	-0.0369821379708737	0.965492005783493	0.0192927327200023	1	ENSG00000000460
FGR	0.0749065258491947	NA	0.00813057564735445	1	ENSG00000000938
CFH	-0.0529846750749454	0.827929190913985	0.0300884232587599	1	ENSG00000000971
FUCA2	0.0408073036682616	0.905799812873782	-0.056135308693867	1	ENSG00000001036
GCLC	0.0203680849478103	0.986710481549632	-0.112836175164209	1	ENSG00000001084
NFYA	0.159983896837985	0.534194822458762	0.125707498126339	1	ENSG00000001167
STPG1	0.00982736368103954	0.989333060269512	0.0633523218736653	1	ENSG00000001460
NIPAL3	-0.10850002264455	0.741810269677602	0.113525978297208	1	ENSG00000001461
LAS1L	0.0095546995277618	0.988221358012408	0.0127488556398848	1	ENSG00000001497
ENPP4	-0.0418195288114595	0.958903297340173	0.031441962052231	1	ENSG00000001561
SEMA3F	-0.0307297794651789	NA	0.0353578965724076	1	ENSG00000001617
CFTR	0.0251871023608919	NA	0.0422146544643246	1	ENSG00000001626
ANKIB1	0.0457467727027323	0.913426691319573	-0.0311864275331764	1	ENSG00000001629
CYP51A1	0.239387635886277	0.179625174451893	0.127300103391589	1	ENSG00000001630
KRIT1	0.116348911401738	0.751754113295727	0.0810146096484625	1	ENSG00000001631
RAD52	-0.0694219513176482	0.8975264224651	0.207315991855518	1	ENSG00000002016
MYH16	-0.0266692326089303	NA	-0.00832519757821738	1	ENSG00000002079
BAD	-0.301591413974992	0.319158685343601	-0.139263200446498	1	ENSG00000002330
LAP3	0.0591262509160611	0.910877499909179	0.186131343739625	1	ENSG00000002549
CD99	-0.0797941588002665	0.673368211592651	-0.102272337187435	1	ENSG00000002586
HS3ST1	-0.351557438539989	NA	-0.0517317210872585	1	ENSG00000002587
AOC1	0.0379847831779345	NA	0.0343546292392924	1	ENSG00000002726
WNT16	-0.0242746579400522	NA	-0.0354946832932603	1	ENSG00000002745
HECW1	-0.0209338584918221	0.979497463256509	0.0987826738400606	1	ENSG00000002746
MAD1L1	-0.151632598545834	0.722399737710806	-0.0928395498167714	1	ENSG00000002822
LASP1	-0.0977345602274124	0.567785359687554	-0.0125496237073716	1	ENSG00000002834
SNX11	0.126786467278324	0.762836115305837	0.193661031921971	1	ENSG00000002919
TMEM176A	0.00492706777755131	NA	-0.0477925839151969	1	ENSG00000002933
M6PR	0.369510760950862	0.0021114458240687	0.246131437290903	1	ENSG00000003056
KLHL13	-0.0811371662372204	0.903999138382038	-0.0936347309480819	1	ENSG00000003096
CYP26B1	-0.223949399563829	0.615864527814359	0.0702194857223734	1	ENSG00000003137
ICA1	-0.119923160295388	0.83031564933247	-0.141858124401291	1	ENSG00000003147
DBNDD1	-0.00841891509813072	NA	0.0199519737290554	1	ENSG00000003249
ALS2	0.113187220694266	0.722399737710806	0.0047231953827915	1	ENSG00000003393
CASP10	-0.224901995041605	NA	-0.247115382260597	1	ENSG00000003400
CFLAR	0.0324894379922956	0.931330914404681	0.00765423841265704	1	ENSG00000003402
TFPI	0.340708602906511	0.17632983448858	0.206524730396043	1	ENSG00000003436
NDUFAF7	-0.151148603621552	0.651620389101015	-0.201384199186673	1	ENSG00000003509
RBM5	-0.160579529148064	0.390304446060476	-0.069801374040337	1	ENSG00000003756
MTMR7	-0.102244441536667	NA	-0.100478418279882	1	ENSG00000003987
SLC7A2	0.263794160180523	0.0157301860772136	0.323642837272816	0.00697883553257931	ENSG00000003989
ARF5	0.0997616774528288	0.680877286055781	0.0822998153100954	1	ENSG00000004059
SARM1	0.0924605265334715	0.858643237896695	0.124003480580726	1	ENSG00000004139
POLDIP2	-0.00854773597164082	0.983375326709205	-0.021897219212717	1	ENSG00000004142
PLXND1	0.178488110766106	0.478804251798999	0.229503848439354	1	ENSG00000004399
AK2	0.158806760217799	0.409409152881987	0.0505952293676486	1	ENSG00000004455
CD38	0.0551465234632566	NA	-0.109048661390925	1	ENSG00000004468
FKBP4	0.144480987147323	0.546601771890463	-0.0887617176246588	1	ENSG00000004478
KDM1A	0.0523261597766762	0.893009373881169	0.0381029747356831	1	ENSG00000004487
RBM6	0.117733569070009	0.603047369002319	-0.00775827354299613	1	ENSG00000004534
CAMKK1	-0.0577299421736724	0.930645521262226	-0.163500849588655	1	ENSG00000004660
RECQL	0.0538392451745452	0.876618543715338	0.0918775763270124	1	ENSG00000004700
VPS50	0.278329524026498	0.379153271986315	0.0100485236332791	1	ENSG00000004766
HSPB6	-0.18115921201868	0.705270452086042	-0.181784749583593	1	ENSG00000004776
ARHGAP33	-0.597941763545138	0.0317454587850002	-0.350451455027143	1	ENSG00000004777
NDUFAB1	0.281428750555612	0.323157366451622	0.143645532091647	1	ENSG00000004779
PDK4	0.197258236315598	0.641182386862376	-0.0112844959235069	1	ENSG00000004799
SLC22A16	-0.0217928540001471	NA	-0.0421039415403416	1	ENSG00000004809
ZMYND10	0.10997272275242	NA	0.00391099115195799	1	ENSG00000004838
ABCB5	-0.0331185508017064	NA	0.030179721718588	1	ENSG00000004846
ARX	-0.00616908873419023	NA	-0.00401215135872157	1	ENSG00000004848
SLC25A13	0.0499504082775463	0.931041580644411	0.0743490522508443	1	ENSG00000004864
ST7	0.0578252391750177	0.902409398977098	0.112397457968961	1	ENSG00000004866
CDC27	-0.123626589221799	0.6341857303976	-0.105916229433969	1	ENSG00000004897
SLC4A1	-0.0470338535709277	NA	-0.0421423089665605	1	ENSG00000004939
CALCR	-0.00616908873419023	NA	-0.00544988417642125	1	ENSG00000004948
HCCS	0.256243859355026	0.334717196661373	0.165977993087503	1	ENSG00000004961
DVL2	-0.0496072841357352	0.912867027695212	-0.152528197048106	1	ENSG00000004975
PRSS22	-0.00226729198790839	NA	-0.00326479421315744	1	ENSG00000005001
UPF1	-0.157459663430532	0.51967322365063	-0.0397353646412908	1	ENSG00000005007
SKAP2	-0.133220553707838	0.781090270191953	0.0544115533183141	1	ENSG00000005020
SLC25A5	0.00756163552786562	0.989333060269512	-0.0331319828263387	1	ENSG00000005022
MCUB	0.125955636333077	0.774072355920417	0.0374952351007498	1	ENSG00000005059
HOXA11	0.041593851038966	0.94749362316318	-0.0371141395895805	1	ENSG00000005073
POLR2J	-0.00887489385597307	0.989422835085373	0.088035039026204	1	ENSG00000005075
DHX33	-0.0421984981718412	0.939262573295019	-0.0226456354781159	1	ENSG00000005100
MEOX1	-0.0036110916754613	NA	0.00214155520302597	1	ENSG00000005102
THSD7A	-0.0578667649990971	NA	0.0796751642369087	1	ENSG00000005108
LIG3	-0.0020231146003073	0.997927283059138	-0.283933717577326	1	ENSG00000005156
RPAP3	0.16996989892649	0.587738639885716	0.125090425562159	1	ENSG00000005175
ACSM3	0.0852704789156123	NA	0.0336512068073465	1	ENSG00000005187
REXO5	0.0811316642314514	NA	0.067063678190627	1	ENSG00000005189
CIAPIN1	0.132971635162173	0.710703598932763	0.100926219328473	1	ENSG00000005194
SPPL2B	-0.430129559061953	0.0349879944279797	-0.092180054128446	1	ENSG00000005206
FAM214B	-0.0128712165555527	0.983211120843763	-0.000737397999283337	1	ENSG00000005238
COPZ2	-0.00359376760894138	0.99902619506913	-0.0765349622176946	1	ENSG00000005243
PRKAR2B	-0.10348327578555	0.859856518522548	-0.142713109514537	1	ENSG00000005249
MSL3	0.0911607238662702	0.823892529261865	-0.106171865845415	1	ENSG00000005302
CREBBP	-0.163775238384662	0.610354915259352	-0.103152887169702	1	ENSG00000005339
TSPOAP1	-0.358580416645769	0.248436605466386	-0.705283385868172	0.000605615043330287	ENSG00000005379
MPO	0.000629362177101564	NA	-0.0534948181818814	1	ENSG00000005381
PON1	0.002021026961046	NA	-0.0499528496917966	1	ENSG00000005421
GCFC2	0.0577950745806769	0.936736206248001	-0.104695371019122	1	ENSG00000005436
WDR54	0.190566439984083	0.641047717163086	-0.10625216636314	1	ENSG00000005448
CROT	-0.0458483794006954	0.944529738638352	0.0785079333101389	1	ENSG00000005469
ABCB4	0.434192899802591	0.177917507720298	-0.101989445916338	1	ENSG00000005471
KMT2E	0.0395278872581683	0.922875070494485	0.02435862455159	1	ENSG00000005483
RHBDD2	-0.00557514411304855	0.991493577688775	-0.111282272667809	1	ENSG00000005486
SOX8	0.00653609854630054	NA	0.00945030270554275	1	ENSG00000005513
IBTK	0.121546238310085	0.659777068117505	0.0767065207922049	1	ENSG00000005700
ZNF195	0.0323881226004839	0.959857959488457	0.0375410418820069	1	ENSG00000005801
MYCBP2	-0.134890765796281	0.567606272243062	-0.1314207637372	1	ENSG00000005810
FBXL3	-0.058177636548597	0.896514469949456	0.0280170123136202	1	ENSG00000005812
ITGAL	-0.128290940113548	NA	0.0280615914732307	1	ENSG00000005844
PDK2	0.127054595928849	0.75530802026715	0.20906406074672	1	ENSG00000005882
ITGA3	0.413597777937404	0.00199601243054816	0.349140673561628	0.149218638273428	ENSG00000005884
ZFX	-0.258848541030303	0.454432188747758	-0.154805531801716	1	ENSG00000005889
LAMP2	0.0167937665959122	0.96123499817783	0.0188561194862434	1	ENSG00000005893
ITGA2B	-0.160274270263978	NA	-0.145383863332007	1	ENSG00000005961
ASB4	0.0921453413802199	NA	0.0335454191575623	1	ENSG00000005981
GDE1	0.0823438676833623	0.72392004219601	0.0962975514720925	1	ENSG00000006007
REX1BD	-0.170928775983874	0.682103643838641	-0.130414286737635	1	ENSG00000006015
CRLF1	-0.356440847478066	0.0234618410215113	-0.0935338382313538	1	ENSG00000006016
OSBPL7	-0.175397317643813	0.725623013478953	-0.140355547723968	1	ENSG00000006025
TMEM98	-0.0682320321120119	0.750056317536612	-0.109699341733514	1	ENSG00000006042
YBX2	0.00710761685516223	NA	0.00466727630579067	1	ENSG00000006047
KRT33A	NA	NA	NA	NA	ENSG00000006059
MAP3K14	-0.147620203157555	0.710416028983206	-0.196131252994072	1	ENSG00000006062
ABCC8	0.0599100859491079	NA	0.00261474972521597	1	ENSG00000006071
CACNG3	NA	NA	NA	NA	ENSG00000006116
TMEM132A	-0.436432912384017	0.0877961962395543	-0.16228993155116	1	ENSG00000006118
AP2B1	-0.0067800584478604	0.988085128083192	0.03535452138487	1	ENSG00000006125
TAC1	0.0769875316879004	NA	-0.0194296707290543	1	ENSG00000006128
ZNF263	-0.0604019328780081	0.912821827912056	-0.0525228483672576	1	ENSG00000006194
CX3CL1	-0.17746023097617	NA	-0.0717417110775101	1	ENSG00000006210
SPATA20	-0.132488661693052	0.550467819164714	-0.0296546328072981	1	ENSG00000006282
CACNA1G	0.114651655958869	NA	0.0684186137824805	1	ENSG00000006283
TNFRSF12A	0.0584144063001425	0.858250411341159	0.0769703501740126	1	ENSG00000006327
DLX6	-0.108935046132676	NA	0.0261120441582184	1	ENSG00000006377
MAP3K9	-0.195520315439384	NA	-0.0910819496763111	1	ENSG00000006432
RALA	0.210879456223488	0.51967322365063	-0.0200778913203467	1	ENSG00000006451
BAIAP2L1	0.0860555925417272	0.816740661130984	-0.076483968788879	1	ENSG00000006453
KDM7A	-0.00527443344429168	0.993144559434181	0.0756146182153964	1	ENSG00000006459
ETV1	0.0887837003927506	0.864195625750678	0.257787561171259	1	ENSG00000006468
AGK	0.242018851051764	0.451348398649544	0.076249004959205	1	ENSG00000006530
ALDH3B1	-0.0936620785281874	0.799510103803477	-0.0630684430874779	1	ENSG00000006534
TTC22	-0.0283454891555555	NA	0.023458336466363	1	ENSG00000006555
PHTF2	-0.0650350268277341	0.847481000156903	0.0176470712644782	1	ENSG00000006576
CCL26	-0.0608477168348419	NA	-0.0299912989652363	1	ENSG00000006606
FARP2	-0.0923969718247044	0.838805861496332	-0.0179142892288443	1	ENSG00000006607
USH1C	0.0306712407649674	NA	-0.0005785393546315	1	ENSG00000006611
GGCT	0.183883521625545	0.642756937966054	-0.017701194135989	1	ENSG00000006625
DBF4	-0.186342938323425	0.691061205425015	-0.292946625649627	1	ENSG00000006634
TBXA2R	0.0348780979987934	NA	0.0202386186910092	1	ENSG00000006638
IFRD1	0.181230609531992	0.336260395663062	0.00480624961448457	1	ENSG00000006652
LGALS14	-0.00221398400411719	NA	0.00126985966759356	1	ENSG00000006659
COX10	0.112188362259414	0.85171264212137	-0.175317972892082	1	ENSG00000006695
GTF2IRD1	0.224723960401312	0.425705480194835	0.111952110642543	1	ENSG00000006704
