gene_name	logFC	adj.P.Val	ID
Gnai3	0.324632240420985	0.00969895785215716	ENSMUSG00000000001
Cdc45	-0.255294193627045	0.085324552566899	ENSMUSG00000000028
H19	3.14310226922005	3.19789612472937e-07	ENSMUSG00000000031
Scml2	0.128050051650009	0.763112482856642	ENSMUSG00000000037
Apoh	0.311362674756391	0.815394414188016	ENSMUSG00000000049
Narf	-0.161793797006974	0.237033068582232	ENSMUSG00000000056
Cav2	0.479750978013928	0.0174475691081684	ENSMUSG00000000058
Klf6	0.416297540667657	0.0019571169648143	ENSMUSG00000000078
Scmh1	0.162794999706622	0.272853938407546	ENSMUSG00000000085
Cox5a	-0.252980312636758	0.287761699453642	ENSMUSG00000000088
Tbx2	0.0529716907037181	0.821173038419354	ENSMUSG00000000093
Tbx4	1.18432613242901	8.93720179829514e-05	ENSMUSG00000000094
Ngfr	1.13538297739316	0.0341823802690353	ENSMUSG00000000120
Wnt9a	2.29605295228612	4.74965772033587e-06	ENSMUSG00000000126
Fer	0.483802842769366	0.000970806112376958	ENSMUSG00000000127
Xpo6	0.266443967209055	0.00845628090405402	ENSMUSG00000000131
Tfe3	0.108375970016176	0.596733677218238	ENSMUSG00000000134
Axin2	0.225364746249635	0.493865929455945	ENSMUSG00000000142
Brat1	0.19298832918917	0.258325559768442	ENSMUSG00000000148
Gna12	0.189175899864703	0.115811982065094	ENSMUSG00000000149
Slc22a18	0.402489278372828	0.468740553332602	ENSMUSG00000000154
Itgb2l	-0.453808714049018	0.00660887661456275	ENSMUSG00000000157
Igsf5	-0.389064782136395	0.694216464433651	ENSMUSG00000000159
Pih1d2	-0.325207882029793	0.327222383480587	ENSMUSG00000000167
Dlat	-0.0114037484464564	0.965221397012937	ENSMUSG00000000168
Sdhd	-0.0244412365148152	0.902337639461495	ENSMUSG00000000171
Fgf23	-0.0828672745706467	0.923462809839284	ENSMUSG00000000182
Fgf6	-0.877245788015534	0.359973661492454	ENSMUSG00000000183
Ccnd2	0.439633665613397	0.00770487629437283	ENSMUSG00000000184
Gpr107	0.154873942755581	0.469504735499369	ENSMUSG00000000194
Nalcn	-0.215118306913624	0.628762150689808	ENSMUSG00000000197
Slfn4	-0.405290116848228	0.625801317124802	ENSMUSG00000000204
Drp2	0.502848814577317	0.246919958807626	ENSMUSG00000000223
Tspan32	-0.429660961862639	0.0121900884376587	ENSMUSG00000000244
Lhx2	0.105085550181745	0.862170931434672	ENSMUSG00000000247
Clec2g	-0.757939667438005	0.248249938386973	ENSMUSG00000000248
Gmpr	-0.35342271344319	0.351013631507236	ENSMUSG00000000253
Mid2	1.04591169284274	8.68411555024592e-05	ENSMUSG00000000266
Trim25	-0.126998450627891	0.707255479740382	ENSMUSG00000000275
Dgke	-0.0565557093742344	0.812701505213522	ENSMUSG00000000276
Scpep1	1.3047828400154	8.44749710913163e-08	ENSMUSG00000000278
Mnt	0.151698176601432	0.453799922597491	ENSMUSG00000000282
Itgb2	-0.242906264662778	0.0596452920632495	ENSMUSG00000000290
Hddc2	0.0715168030500339	0.790112861024714	ENSMUSG00000000295
Tpd52l1	-0.524657928406602	0.335659529847705	ENSMUSG00000000296
Pemt	0.136151379868913	0.780775687569116	ENSMUSG00000000301
Cdh1	-0.569268466004098	0.0417928953226499	ENSMUSG00000000303
Cdh4	-1.05049632555416	0.0557974262932223	ENSMUSG00000000305
Bcl6b	0.622473279307231	0.0607188472920238	ENSMUSG00000000317
Clec10a	-0.102126345104403	0.785249770577483	ENSMUSG00000000318
Alox12	-0.379847146940135	0.029466081297026	ENSMUSG00000000320
Comt	0.138666841376378	0.199254096217416	ENSMUSG00000000326
Rtca	0.299248312039233	0.0530567195566436	ENSMUSG00000000339
Dbt	0.116984994691539	0.542230248947266	ENSMUSG00000000340
Dazap2	-0.0781758878088938	0.499087319408292	ENSMUSG00000000346
Mcts1	0.0633104750150992	0.73495948382937	ENSMUSG00000000355
Rem1	0.571498622532796	0.0537551579376466	ENSMUSG00000000359
Rnf17	-0.229066188384325	0.703417538210528	ENSMUSG00000000365
Trappc10	-0.120880994731775	0.259659083791627	ENSMUSG00000000374
Ccm2	0.0625747160070089	0.648934091137671	ENSMUSG00000000378
Tbrg4	-0.291579239719611	0.0547711183320224	ENSMUSG00000000384
Tmprss2	-0.165019822066394	0.897071151598161	ENSMUSG00000000385
Mx1	-0.245563493421954	0.79455152341671	ENSMUSG00000000386
Fap	1.19699397061367	5.24119283232716e-07	ENSMUSG00000000392
Ndufa9	-0.0336645650204606	0.826766671733186	ENSMUSG00000000399
Egfl6	1.28852889681899	5.85282895816341e-05	ENSMUSG00000000402
Lck	0.0478917592532082	0.915607157872271	ENSMUSG00000000409
Tssk3	0.170937834429509	0.821758810973214	ENSMUSG00000000411
Cttnbp2	-0.514532208756294	0.516611266253431	ENSMUSG00000000416
Galnt1	0.617995026689288	3.0039073390568e-05	ENSMUSG00000000420
Myf5	-0.899391640625403	0.491466784176766	ENSMUSG00000000435
Mkrn2	-0.0395261781396758	0.860169716556575	ENSMUSG00000000439
Pparg	-0.478988323403494	0.0536241468195373	ENSMUSG00000000440
Raf1	-0.0688162022551744	0.528649464956924	ENSMUSG00000000441
Septin1	-0.242181374995378	0.193105215316654	ENSMUSG00000000486
Pdgfb	0.509434161708716	0.00435414608079031	ENSMUSG00000000489
Acvrl1	0.318603299452278	0.153365563072783	ENSMUSG00000000530
Tamalin	0.997405656996273	0.000855517631356441	ENSMUSG00000000531
Acvr1b	0.076760346828932	0.710306844188342	ENSMUSG00000000532
Tom1l2	0.3865542333928	0.0371327959964798	ENSMUSG00000000538
Zfp385a	0.275281067093654	0.0956683334061369	ENSMUSG00000000552
Itga5	1.24799433148346	0.0103210307649011	ENSMUSG00000000555
Gabra2	-0.775528071571399	0.126475178826331	ENSMUSG00000000560
Wdr77	0.106678618142107	0.611133225331231	ENSMUSG00000000561
Adora3	-0.642304494073558	0.0369485129139862	ENSMUSG00000000562
Atp5pb	-0.0567865022474852	0.787550602123571	ENSMUSG00000000563
Sox9	1.36178535259898	4.68769568425349e-05	ENSMUSG00000000567
Hnrnpd	-0.125762632108993	0.263773413439463	ENSMUSG00000000568
Dynlt1c	-0.632361127253405	0.0421688229072643	ENSMUSG00000000579
C1d	-0.0560776107687602	0.796986938121763	ENSMUSG00000000581
Gm2a	0.232458390465335	0.0484321977133092	ENSMUSG00000000594
Krit1	-0.14340629893663	0.289425968449214	ENSMUSG00000000600
Clcn4	0.496384377449862	0.00103746922041512	ENSMUSG00000000605
Vmn2r88	-0.672117602877177	0.116386784284128	ENSMUSG00000000606
Grm6	-1.55097036477697	0.150815549861548	ENSMUSG00000000617
Sema4f	0.719674350688218	0.00275269905308802	ENSMUSG00000000627
Hk2	-0.294812123816176	0.0793303747430214	ENSMUSG00000000628
Myo18a	-0.188255406188691	0.160101001616566	ENSMUSG00000000631
Sez6	0.148081391598727	0.862442738234269	ENSMUSG00000000632
Haao	-0.542146441806852	0.0748801860341234	ENSMUSG00000000673
Cd52	-0.381384920904769	0.087390480705363	ENSMUSG00000000682
Abhd15	-0.427590804600357	0.028545055116451	ENSMUSG00000000686
Hoxb6	0.545266050738168	0.271665528487663	ENSMUSG00000000690
Loxl3	1.71670164258131	6.74298286019663e-05	ENSMUSG00000000693
Btn1a1	-0.807278802935565	0.0647491304166909	ENSMUSG00000000706
Kat2b	0.160493501862359	0.299132890236923	ENSMUSG00000000708
Rab5b	0.047275846120602	0.627423074321445	ENSMUSG00000000711
Cryba1	-0.701145216441865	0.158941692588235	ENSMUSG00000000724
Dnmt3l	0.297802865492535	0.712887102274332	ENSMUSG00000000730
Aire	-0.848058885258021	0.319864862530615	ENSMUSG00000000731
Icosl	-0.427988586651462	0.0326777087798665	ENSMUSG00000000732
Spg7	0.101587283383425	0.457781517465475	ENSMUSG00000000738
Sult5a1	-0.0945122870162629	0.864521586307291	ENSMUSG00000000739
Rpl13	-0.213387649304454	0.224777674520914	ENSMUSG00000000740
Chmp1a	0.150220112549792	0.34053853343971	ENSMUSG00000000743
Rpa1	-0.108756003806692	0.377192105439991	ENSMUSG00000000751
Serpinf1	1.66369399236867	2.74514638292626e-05	ENSMUSG00000000753
Tubgcp3	-0.167888213956196	0.339354272895639	ENSMUSG00000000759
Oprm1	-0.791239116447348	0.116121868218163	ENSMUSG00000000766
Polr3d	0.724675842627365	0.0122127255913172	ENSMUSG00000000776
Tcf7	0.291997664029484	0.172718512868769	ENSMUSG00000000782
Ddx3x	0.344575006136063	0.00211284682122885	ENSMUSG00000000787
Il12rb1	0.119697245816625	0.85321028795971	ENSMUSG00000000791
Kcnn3	1.18560053868818	0.00185053720797534	ENSMUSG00000000794
Usp32	-0.372229025990778	0.00317406424499444	ENSMUSG00000000804
Car4	-0.887203839061243	0.236190712319543	ENSMUSG00000000805
Txnrd3	0.185301179454133	0.403416094351824	ENSMUSG00000000811
Fasl	0.52762676768064	0.54936514958193	ENSMUSG00000000817
Zfp512b	0.225230644929988	0.288806628005698	ENSMUSG00000000823
Dnajc5	0.174620813762696	0.0725196846799276	ENSMUSG00000000826
Tpd52l2	0.321111303231122	0.0101723698948433	ENSMUSG00000000827
Fmr1	0.0241242623654738	0.844508622516598	ENSMUSG00000000838
Bcl11a	-0.496052691593923	0.00299242310974675	ENSMUSG00000000861
Il4	-0.124829681714667	0.82420743643945	ENSMUSG00000000869
Pxmp4	0.0405689454401994	0.781264449967924	ENSMUSG00000000876
Dlg3	0.873029608812026	0.00384746202496663	ENSMUSG00000000881
Gnb1l	0.0527180086122381	0.892779570963652	ENSMUSG00000000884
Mmp11	1.82667369749726	7.57425650752774e-08	ENSMUSG00000000901
Smarcb1	0.176620774899065	0.233668805768423	ENSMUSG00000000902
Vpreb3	0.0428092107285067	0.913496368176813	ENSMUSG00000000903
Hip1r	-0.348948958204502	0.0216394234209116	ENSMUSG00000000915
Nsun5	-0.0498854826762707	0.829052010999604	ENSMUSG00000000916
Top1mt	-0.0627943031336593	0.78004307461126	ENSMUSG00000000934
Hoxa10	1.1249682001227	1.30182040912786e-05	ENSMUSG00000000938
Hoxa4	-0.0970040828741843	0.889343943938921	ENSMUSG00000000942
Gm38393	0.194080390092391	0.861176276638714	ENSMUSG00000000948
Mmp14	2.8466824984707	7.06903481331674e-10	ENSMUSG00000000957
Slc7a7	0.135368269622516	0.581386297018766	ENSMUSG00000000958
Oxa1l	-0.0392674089335037	0.7969378111917	ENSMUSG00000000959
Heatr6	-0.23135527837707	0.146689052025735	ENSMUSG00000000976
