gene_name	length
Gnai3	3262
Pbsn	902
Cdc45	3506
H19	2460
Scml2	6397
Apoh	1594
Narf	4806
Cav2	3335
Klf6	4391
Scmh1	7731
Cox5a	2101
Tbx2	3626
Tbx4	3401
Zfy2	3107
Ngfr	3446
Wnt3	3076
Wnt9a	3329
Fer	4680
Xpo6	16920
Tfe3	9261
Axin2	5506
Brat1	6179
Gna12	3416
Slc22a18	1699
Itgb2l	4324
Igsf5	2523
Pih1d2	2813
Dlat	4886
Sdhd	1231
Fgf23	1814
Fgf6	4657
Ccnd2	9409
Gpr107	12766
Nalcn	14715
Btbd17	3187
Slfn4	3964
Th	2364
Ins2	1312
Scnn1g	2991
Drp2	8553
Tspan32	6234
Lhx2	4393
Clec2g	2847
Gmpr	2323
Glra1	2414
Mid2	8114
Trim25	5754
Dgke	8387
Scpep1	2097
Mnt	4627
Itgb2	3052
Hddc2	3508
Tpd52l1	1323
Pemt	2104
Cdh1	4574
Cdh4	7257
Ckmt1	2496
Bcl6b	3719
Clec10a	2899
Alox12	4085
Comt	2532
Rtca	1880
Dbt	3348
Dazap2	2900
Mcts1	1571
Rem1	2156
Rnf17	6241
Trappc10	8128
Ccm2	3666
Wap	1008
Tbrg4	3696
Tmprss2	7302
Mx1	3785
Fap	5662
Gcg	1494
Ndufa9	2101
Egfl6	2704
Lck	2929
Tssk3	1280
Cttnbp2	8829
Galnt1	5519
Myf5	2083
Mkrn2	7005
Pparg	2953
Raf1	6845
Septin1	2763
Pdgfb	4161
Acvrl1	4265
Tamalin	2033
Acvr1b	4418
Tom1l2	8764
Gpa33	2742
Zfp385a	2515
Itga5	4933
Gabra2	7640
Wdr77	4841
Adora3	3729
Atp5pb	4105
Sox9	4135
Hnrnpd	7354
Dynlt1c	3777
C1d	3995
Gm2a	4127
Krit1	21853
Clcn4	8575
Vmn2r88	4597
Grm6	5421
Sema4f	5290
Hk2	5969
Myo18a	16037
Sez6	5779
Haao	4681
Cd52	1187
Abhd15	3035
Hoxb6	1964
Loxl3	4603
Tcl1b5	1055
Btn1a1	4119
Kat2b	4867
Rab5b	4201
Cryba1	1594
Dnmt3l	2988
Aire	3825
Icosl	4620
Spg7	4518
Sult5a1	4419
Rpl13	2595
Chmp1a	3272
Rpa1	5578
Serpinf1	2359
Tubgcp3	8568
Oprm1	8037
Polr3d	2854
Tcf7	3019
Ddx3x	5277
Il12rb1	4105
Slc5a5	2928
Kcnn3	10451
Usp32	7680
Car4	1966
Txnrd3	2836
Fasl	1937
Zfp512b	6810
Dnajc5	6953
Tpd52l2	4982
Fmr1	8966
Bcl11a	13175
Il4	1227
Pxmp4	3114
Dlg3	5844
Gnb1l	4219
Dbh	2692
Mmp11	2778
Smarcb1	7930
Vpreb3	859
Hip1r	7369
Nsun5	4317
Top1mt	2043
Hoxa10	3270
Hoxa4	1594
Gm38393	5216
Mmp14	5960
Slc7a7	3315
Oxa1l	4457
Heatr6	6419
Ccl3	766
Wfdc18	1220
Icam4	1110
Ilf2	8580
Chtop	3637
Snapin	2290
S100a4	584
S100a3	2670
S100a5	432
S100a6	1367
Scn4a	7041
Icam2	1904
Mapk7	4394
Epn2	5228
B9d1	1593
Sec24b	6020
N4bp3	2728
Rmnd5b	2161
Nhp2	1146
Vps9d1	5153
Zfp276	5530
C1ql4	1474
Mfsd10	2894
Luzp1	8112
Slc13a2	2412
Kctd10	4039
Poldip2	3783
Sebox	1359
Ift20	1525
Col6a1	4380
Pcbp3	2933
Lgals9	2137
Araf	6541
Cfp	1736
Timp1	888
Uxt	1639
Cnnm3	6420
Lman2l	7359
Mcm3ap	7197
Pcnt	12154
Ftcd	3192
Mxd1	7072
Gmcl1	6493
Snrnp27	1837
Oas1c	2405
Oas1h	1703
Ocrl	9486
Calm1	4706
Agpat3	7790
Slc26a3	6369
Sema6b	3968
Uhrf1	4259
Dpp9	7883
Ramp2	3301
Lsr	2172
Gramd1a	5239
Hpn	4101
Gabrg1	7869
Ckb	2895
Sp1	8262
Itgb7	2770
Myg1	2823
Rarg	4261
Pfdn5	1394
Efnb2	6855
Rrp15	3239
Rnd2	1990
Srr	4560
Sync	2862
Fndc5	2763
Acp5	2030
Cnn1	2736
Fbxo9	3103
Vps50	10856
Hars	2447
Zmat2	2592
Ube2c	2600
Smg5	6956
Cct3	6370
Glmp	6291
Mef2d	5985
Tmem79	2912
Snd1	9757
Col18a1	7021
Slc19a1	4644
Kpnb1	6590
Npepps	7206
Tbx21	2488
Mrpl10	1708
Cyp51	4415
Tcf25	5390
Tubb6	2437
Def8	4408
Meox1	2228
Sost	2066
Nkx2-1	2842
Pax9	5056
Irx2	3282
Col1a1	6563
Itga3	5710
Sgca	1735
Dlx3	2607
Foxm1	5754
Itfg2	7096
Nrip2	3757
Tulp3	9342
Gtf2h4	3313
Tubb5	3327
Ell2	9828
Jup	6436
Fkbp10	2935
Klhl10	2161
Mnx1	2250
Nom1	9232
Ergic1	8888
Tnk1	3329
Acap1	4878
Tcea3	1400
Csn3	4152
Ifrd1	5858
Stk38l	4880
Brpf1	6779
Akr1b3	8384
Hoxc13	2461
Hoxc11	2021
Hoxc8	2832
Hoxc6	2408
Gstt1	1528
Gstt3	3842
Ddt	773
Tat	2405
Marveld3	3284
Ddx18	2483
Ubl3	8098
Gramd3	5679
Eef1e1	3257
Akt1	4098
Cldn15	2124
Il16	7865
Tcirg1	4603
Naglu	2658
Coasy	2867
Smo	5621
Tspan33	5195
Crnkl1	3844
Rin2	11271
Folh1	3210
Chordc1	7498
Rtcb	2615
Pwp1	2942
Fbxo7	6180
Capns1	2477
Lrp3	4700
Dsg4	3478
Evx2	4191
Hoxd13	2483
Hoxd12	2534
Folr1	2297
Clpb	9960
Septin7	11631
Zdhhc4	2864
Rac1	4496
Nup214	9659
Aif1l	4032
Cpa3	1517
Ltbp1	10691
Ugp2	3069
Kcnh6	3549
Trmt1	6306
Nacc1	4673
Nfix	7351
Slc1a5	4173
Uba1	4819
Vwf	16064
Siae	10497
Vsig2	1979
Esam	2867
Spa17	1061
Fam50a	2288
Emd	2517
Taco1	1383
Grik3	8973
Gria3	9859
Npas1	3009
Sipa1l2	9617
Ap4e1	9810
Blvra	2446
Pdzd4	3970
Srpk3	2784
Idh3g	2701
Pnck	1971
Ssr4	3096
Bcap31	1219
Fam98a	3564
Ltbp2	8184
Kmt2a	16670
Ift46	6416
Tmem25	3212
Cd3g	3269
Trappc6a	1589
Supt6	7095
Spag5	5624
Foxn1	3214
Unc119	2448
Rab34	2385
Sdf2	1515
Ccne1	2662
Hsf2bp	3589
Bbc3	2124
Mybpc3	4163
Psmc3	2607
Acp2	5186
Rapsn	1802
Slc39a13	4869
Celf2	25884
Nr1h3	2515
Ddb2	2736
Spi1	2695
Sf3a1	6147
Stat6	4402
Clgn	4025
Napsa	2660
Vrk3	6744
Smg9	3702
Paxip1	10271
Rmnd5a	6783
Mov10	5607
Ppm1j	1814
Rhoc	1618
Prr27	1337
Tead3	6714
Ppard	7514
Def6	2672
Peg3	13616
Zim1	8086
Metrn	3771
Lmf1	13589
Ciao3	6223
Angptl4	3541
Dbf4	8728
Daxx	3151
Cd320	2883
Ipo4	4669
Tm9sf1	3880
Rec8	2935
Irf9	5386
Gmpr2	3925
Mdp1	2032
Dhrs1	2760
Ncan	7195
Tmem161a	3673
Armc6	3262
Borcs8	1468
Slc25a42	5996
Snx9	3617
Ranbp3	6960
Ndufa11	1092
Bmp8b	3880
Nr2f6	2983
Use1	2203
Ocel1	7133
Dyrk1b	2695
Braf	13862
Ndufb2	5628
Hltf	5931
Prpf6	3859
Rgs19	2230
Rgs20	4239
Abhd3	2334
Snrpd1	2052
Tchp	7397
Tiam1	10048
Tsc2	9620
Rpl3l	1643
Slc9a3r2	2646
Puf60	4748
Golga2	5500
Uck1	2751
Scin	2999
Ikzf4	6461
Mien1	747
Pon1	2898
Axl	5033
Tgfb1	5042
Ccdc97	3939
Zfp40	4482
Akap8l	5073
Shh	2847
Pdcd2l	1549
Gtf2f1	1717
Clpp	1223
Alkbh7	1029
Pspn	474
Dennd1c	5109
Med6	1447
Prkd1	3653
Lcp2	4459
Cse1l	5273
Naa20	3705
Prkra	2028
Fkbp7	1485
Plekha3	3126
Ykt6	2984
Baz1b	13667
Pex6	3796
Mrpl2	1170
Mea1	1844
Gnmt	1206
Grin2d	6658
Kdelr1	1874
Tmem143	7518
Pdxk-ps	3119
Ggct	7745
Jag2	6965
Btbd6	2324
Nudt14	1587
Epdr1	2745
Flii	5039
Top3a	4599
Atg4d	7264
Qtrt1	1973
Plin4	6350
Hdgfl2	4876
Chaf1a	8854
Adprh	2966
Tmem39a	4094
Timmdc1	1784
Pla1a	2009
Mcm2	6956
Tpra1	4171
Nab1	4100
Adgre5	3757
Il17ra	8662
Lamb1	9917
Kcnn1	4587
Arrdc2	3232
Ppp1r17	1757
Cd36	3590
Map2k7	3829
Timm44	3664
Ap2a2	5663
Pnkp	3250
Med25	7629
Bcam	3199
Clptm1	6210
Relb	3885
Tomm40	4513
Apoe	2138
Apoc2	813
Hbp1	6167
Prkar2b	3652
Cdkn1b	4552
Klf4	3049
Ap1m1	3184
Rab8a	4678
Hmgn2	3060
Fam32a	4409
Elf3	2217
Cyp2c29	3061
Stard3nl	5600
Stk11	4580
Efna2	2131
Atp5d	1928
Ppp5c	3136
Cdk12	11730
Lipe	5886
Pafah1b2	8266
Tbc1d8	5239
Cnot11	3508
Slc2a3	7245
Foxj2	5346
Sri	4852
Dgcr2	6853
Irf3	3442
Bcl2l12	1976
Zfp959	2448
Mpnd	2305
Sh3gl1	5012
Ebi3	1154
Yju2	4956
Ranbp2	11728
Edar	3637
Grk5	7055
Dvl3	6410
Abcf3	3558
Eif2b5	2595
Cyth2	3445
Sult2b1	3950
Car11	1926
Dlgap1	17890
Plag1	8487
Hck	2092
Mrpl4	2617
Keap1	4693
Ap1m2	3140
Glg1	7090
Atp8b3	4713
Btbd2	3586
Csnk1g2	4835
Abhd17a	1547
Mob3a	3254
Cacnb3	4010
Ccdc65	1992
Fkbp11	2706
Ddx23	6229
Pld3	2924
Grik5	5168
Cd79a	1457
Rabac1	1523
Etv3	10274
Prkcsh	4275
Elavl3	6890
Rab3b	3524
St8sia6	7664
Fcgrt	2102
Nosip	2800
Pih1d1	2020
Rps11	865
Supt5	5764
Dll3	2850
Paf1	3438
Timm50	2684
Med29	1281
Bicd1	27373
Ncstn	3975
Pex19	3815
Phyhip	2910
Crhr2	5115
Inmt	1600
Cyp4f18	1855
Impdh1	3294
Psg18	3232
Dusp3	4682
Prodh	7797
Ess2	4231
Slc25a1	2164
Dgcr6	2985
Ddr1	4774
Ier3	1131
Fosb	6243
Klc4	2377
Ercc1	3111
Cyp17a1	2769
As3mt	3212
Homer3	3440
Crtc1	11182
Rnf215	2232
Sec14l2	3505
Aven	5001
Cp	9566
Crot	5456
Rps6ka1	4258
Calb2	1743
Snrnp200	7819
Ciao1	3197
Has1	4518
Taf6l	5017
Insig2	3473
Kpna6	6729
Man1a	9647
Itpkc	5285
Coq8b	5586
Brd8	10633
Kif20a	4338
Farsa	4538
Gcdh	2754
Mast2	8049
Dnase2a	5389
Rad23a	2577
Calr	2880
Syce2	1968
Nfat5	18378
Nob1	3486
Nqo1	1553
Ppfia3	7899
Gys1	4789
Ruvbl2	2902
Lin7b	1463
Bax	1576
Il7r	4663
Tfam	4438
Zfp81	6790
Efnb3	3183
Mmd	3581
Hlf	6681
Fam162a	850
Rpl8	1359
Grm3	3049
Ssbp2	7985
Fancl	3372
Brinp2	8767
Gstm5	1278
Gstm7	1601
Gstm3	1311
Stat3	9527
Stat5a	7133
Cavin1	3587
Map3k11	4393
Akt2	7131
Dnaja3	3912
Hmox2	2217
Cdip1	10094
Map3k20	10175
Cwc15	1571
Col5a3	6809
Dnmt1	7377
Ppan	4004
Angptl2	6286
Cacna1e	25228
Cacna1b	9942
Trmt10a	7976
Etv1	13296
Kifc2	3932
Psap	2744
Ikbkg	8110
Pax2	5409
Wars2	5946
Atn1	4600
Phb2	3718
Ptpn6	2802
Eno2	4705
Emg1	4632
Lpcat3	3268
Atp6v1f	1063
Il12b	1967
Clcn5	11452
Clcn3	17071
Hif3a	6710
Gpx6	1368
Gpx5	1674
Pde1c	20520
Utp20	10199
Spic	3841
9330159F19Rik	5767
Cul3	4873
Sst	721
Il11	2081
Large1	7976
Ddx56	2533
Tmed4	2178
Col26a1	8176
Bid	3550
Ralb	4930
Ppp1cc	3424
Dnajb11	3236
Tbccd1	6939
Clec11a	2978
Zfp324	4776
Gab2	6168
Coro1c	9664
Tax1bp1	9991
Psg17	2100
Psg19	3205
Ctse	3170
Ndrg2	3397
Mettl17	3970
Arhgef40	10366
Pnpla6	9698
Mcoln1	7555
Arhgef18	13889
Pkn2	12877
Cd33	7771
Etfb	1164
Nkg7	914
Stxbp2	4159
Pcp2	1828
Sgce	10612
Chn2	5812
Wwox	10173
Slbp	6076
Tyr	7108
Ghrhr	3487
Aqp1	2627
Arid3b	7976
Cnn2	2460
Polr2e	2670
Abca13	19737
Myo9b	7496
Hdac9	14838
Ly9	3307
Cd244a	4876
Adgre1	3238
Mtfp1	1738
Rab23	8285
Rab11a	2992
Eif2b2	1885
Dlst	9559
Pgf	2903
Ulk2	5977
Ccl24	1295
Dgkq	7189
Tmed11	763
Grap	1793
Pou1f1	3891
Chmp2b	1928
Plod3	4519
Ap1s1	2198
Mapk13	3150
Srpk1	12376
Pax3	6187
Lbr	4761
Crabp2	1322
Nes	6416
Bcan	4064
Hapln2	2371
Prcc	2099
Rrnad1	6342
Hdgf	2873
Slc25a18	1911
Thop1	5059
Apba3	2890
Matk	4594
Pias4	3695
Map2k1	3391
Sgta	2876
Nmrk2	1854
Tmem242	1837
Dtx2	7032
Zp3	1323
Hspb1	1031
Rasa4	7485
Syt5	2380
Hnrnpa2b1	6584
Fxyd4	1957
Ccdc130	2694
Mri1	3273
Prkacb	8772
Sgsh	4414
Chd5	9583
Cstb	603
Sh2b2	5406
Pex5	3943
Jkamp	2692
Cd44	6776
Slc1a2	13133
Eif2ak4	7457
Wdr1	8899
Slc2a9	5083
Ccn4	5565
Ndrg1	6596
4930550C14Rik	3539
Man2b1	8026
Klf5	5201
Wdr83	2818
Prdx2	3050
Polr2a	7067
Shbg	1506
Senp3	3632
Corin	5400
Plekha8	7005
G6pc2	1974
Spc25	3188
Dnah2	14968
Ripk4	3591
Ufd1	4336
Zfp287	7632
Prlr	15339
Letm1	9650
Ubqln1	4406
Fgfr4	3542
Cadm3	7248
Fcer1a	998
Txn2	4208
Casp14	2394
Slc1a6	2152
Slc1a3	8537
Crbn	6982
Il5ra	3575
Msh6	4346
Fbxo11	4397
Mlxipl	5538
Tbl2	7855
Bud23	3386
Nid1	6943
Mcm5	3993
Hmox1	1751
Mprip	13327
Cic	10294
Pafah1b3	2107
Il27ra	3495
Prkaca	2488
Asf1b	2338
Myl10	1203
Ddx39a	5155
Dnajb1	3204
Msh4	6895
Usp40	11871
Evx1	2877
Kbtbd4	3139
Celf1	8446
Ndufs3	2178
Por	4021
Igf1r	16791
Insr	13746
Fcer2a	3092
Cyp2a5	2073
Atp4a	3761
Trim28	4158
Ube2m	2357
Adcy9	5197
Mef2c	15715
Ctr9	8000
Eif4g2	10166
Irag1	6827
Pcyt1a	7412
Zfp592	7412
Psmd4	2808
Tmod4	1717
Insrr	5714
Cabp5	2526
Snx6	2998
Mthfd2	3487
Kit	8911
Tomm40l	5135
Nr1i3	4414
Apoa2	537
Pan2	8472
Cs	5779
Ampd3	5627
Bcas2	4390
Sh2d1a	5505
Ctcf	4860
Pard6a	1582
Agrp	1013
Pvalb	1041
Tfap4	2541
Ranbp1	1666
Cd247	5329
Rfx5	5497
Psmb4	1951
Mmp8	2425
Slc30a4	5482
Sqor	4084
Bloc1s6	3899
Metap1	7000
Gpr108	2862
Tnfsf14	1847
Gata6	6508
Rsl1d1	2258
Cnga2	3095
Apc	16116
Reep5	3151
Ergic3	2121
Uqcc1	6044
Spo11	3921
Ncoa2	15642
Prl4a1	876
Trh	1384
Nr2c2	14935
Nr2c1	4607
Smpd4	9034
Pex1	10356
Otx1	5422
Kctd20	7821
Itgae	4581
Ctns	3391
P2rx5	2395
Shpk	2985
Trpv1	3681
Ephb3	6641
Tuft1	3117
Rcn1	3196
Dnase1	3083
Trap1	2573
Naa60	3765
1700037C18Rik	3227
Ankrd13d	2460
Tyrp1	2828
Tpr	10496
Pdc	3350
Odr4	4100
Prg4	4280
Dhx34	4596
Kptn	3341
Napa	3786
Sra1	2279
Calcoco2	1621
Atp5g1	4912
Snf8	2677
Tbcb	1442
Inpp5k	5728
Crkl	5042
Upk3bl	1303
Eps8l1	6036
Clint1	7033
Prss16	4183
Cdkal1	12799
Rhox6	1010
Cdcp3	9202
Htra1	2879
Zbtb17	3877
Clcnkb	2639
Fam131c	1433
Fblim1	4457
Hspb7	2769
Epor	1989
Ccdc159	2183
Mob1b	15033
Atp6v1b1	4381
Vax1	1117
Atp6v1b2	5305
Eps15l1	6739
Tep1	9568
Ttc5	4065
Osgep	4933
Aamp	3458
Tmbim1	12659
