Target gene	Representative transcript	Gene name	3P-seq tags + 5	Conserved sites total	Conserved 8mer sites	Conserved 7mer-m8 sites	Conserved 7mer-A1 sites	Poorly conserved sites total	Poorly conserved 8mer sites	Poorly conserved 7mer-m8 sites	Poorly conserved 7mer-A1 sites	6mer sites	Representative miRNA	Predicted occupancy (low miRNA)	Predicted occupancy (high miRNA)	Predicted occupancy (transfected miRNA)	Cumulative weighted context++ score	Total context++ score	Aggregate PCT	Previous TargetScan publication(s)
ZNF776	ENST00000317178.5	zinc finger protein 776 	1447	1	1	0	0	6	3	2	1	0	hsa-miR-199a-5p	0.0750	0.5224	2.7911	-4.68	-4.68	0.68	2009, 2011
ZNF439	ENST00000304030.2	zinc finger protein 439 	64	1	1	0	0	3	2	1	0	0	hsa-miR-199a-5p	0.0416	0.2922	1.6283	-3.53	-3.53	0.44	2009
ZNF544	ENST00000599227.1	zinc finger protein 544 	173	5	5	0	0	5	3	2	0	0	hsa-miR-199a-5p	0.0638	0.4538	2.6421	-3.45	-3.65	0.14	2011
ZNF791	ENST00000446165.1	zinc finger protein 791 	242	8	7	1	0	3	2	1	0	1	hsa-miR-199b-5p	0.0841	0.5912	3.2455	-3.04	-3.26	< 0.1	NULL
ZNF788	ENST00000430298.2	zinc finger family member 788 	16	2	1	1	0	9	7	2	0	0	hsa-miR-199b-5p	0.0708	0.4960	2.7306	-2.79	-2.79	0.25	NULL
ZNF627	ENST00000588174.1	zinc finger protein 627 	105	3	2	1	0	4	4	0	0	0	hsa-miR-199b-5p	0.0541	0.3797	2.0650	-2.51	-2.51	< 0.1	NULL
ZIK1	ENST00000307468.4	zinc finger protein interacting with K protein 1 	64	5	5	0	0	1	1	0	0	1	hsa-miR-199a-5p	0.0603	0.4054	1.9342	-2.44	-2.44	< 0.1	NULL
ZNF772	ENST00000425074.3	zinc finger protein 772 	22	5	5	0	0	1	0	0	1	1	hsa-miR-199b-5p	0.0438	0.3071	1.6684	-1.99	-1.99	< 0.1	NULL
ZNF709	ENST00000397732.3	zinc finger protein 709 	90	1	1	0	0	0	0	0	0	0	hsa-miR-199a-5p	0.0415	0.2826	1.4795	-1.57	-1.57	0.25	NULL
ZNF584	ENST00000599238.1	zinc finger protein 584 	282	3	2	1	0	2	1	0	1	0	hsa-miR-199b-5p	0.0401	0.2822	1.5472	-1.56	-1.56	< 0.1	NULL
ZNF625	ENST00000455799.1	zinc finger protein 625 	8	3	1	2	0	5	5	0	0	0	hsa-miR-199b-5p	0.0323	0.2289	1.3130	-1.55	-2.78	< 0.1	NULL
ZNF256	ENST00000598928.1	zinc finger protein 256 	18	3	2	1	0	1	1	0	0	0	hsa-miR-199a-5p	0.0368	0.2554	1.3340	-1.44	-1.44	< 0.1	NULL
