gene_name	length
TSPAN6	4536
TNMD	1476
DPM1	1207
SCYL3	6883
C1orf112	5970
FGR	3382
CFH	7980
FUCA2	2822
GCLC	8618
NFYA	3811
STPG1	8511
NIPAL3	9396
LAS1L	12555
ENPP4	4644
SEMA3F	4826
CFTR	9942
ANKIB1	7389
CYP51A1	3529
KRIT1	6204
RAD52	4503
MYH16	6307
BAD	1708
LAP3	3779
CD99	4858
HS3ST1	7435
AOC1	3786
WNT16	3264
HECW1	13935
MAD1L1	6955
LASP1	7061
SNX11	4133
TMEM176A	3477
M6PR	3585
KLHL13	6983
CYP26B1	4839
ICA1	4883
DBNDD1	4462
ALS2	33513
CASP10	7581
CFLAR	22479
TFPI	11714
NDUFAF7	3651
RBM5	10357
MTMR7	6928
SLC7A2	7905
ARF5	1825
SARM1	11105
POLDIP2	2670
PLXND1	9557
AK2	9625
CD38	6857
FKBP4	5163
KDM1A	5440
RBM6	7299
CAMKK1	7433
RECQL	3779
VPS50	9559
HSPB6	1724
ARHGAP33	5260
NDUFAB1	1548
PDK4	4544
SLC22A16	3907
ZMYND10	2889
ABCB5	9257
ARX	3114
SLC25A13	3710
ST7	6526
CDC27	6824
SLC4A1	5125
CALCR	4222
HCCS	2343
DVL2	5321
PRSS22	2384
UPF1	8573
SKAP2	5361
SLC25A5	1555
MCUB	3555
HOXA11	2669
POLR2J	1355
DHX33	5789
MEOX1	2674
THSD7A	10921
LIG3	12901
RPAP3	5350
ACSM3	7510
REXO5	4111
CIAPIN1	3383
SPPL2B	7419
FAM214B	6375
COPZ2	1866
PRKAR2B	4262
MSL3	9780
CREBBP	15479
TSPOAP1	11389
MPO	3527
PON1	2657
GCFC2	5462
WDR54	2852
CROT	4995
ABCB4	7728
KMT2E	9949
RHBDD2	2390
SOX8	4470
IBTK	8719
ZNF195	11711
MYCBP2	15987
FBXL3	7076
ITGAL	9864
PDK2	5471
ITGA3	9802
ZFX	9037
LAMP2	9404
ITGA2B	5695
ASB4	4606
GDE1	4390
REX1BD	3371
CRLF1	2967
OSBPL7	6572
TMEM98	5187
YBX2	4631
KRT33A	1303
MAP3K14	5668
ABCC8	12588
CACNG3	1917
TMEM132A	7274
AP2B1	7591
TAC1	1712
ZNF263	6403
CX3CL1	5960
SPATA20	5337
CACNA1G	10062
TNFRSF12A	1801
DLX6	3445
MAP3K9	12386
RALA	3579
BAIAP2L1	4821
KDM7A	9378
ETV1	9615
AGK	10697
ALDH3B1	6626
TTC22	6111
PHTF2	8646
CCL26	703
FARP2	14371
USH1C	4904
GGCT	1594
DBF4	4595
TBXA2R	2827
IFRD1	7902
LGALS14	904
COX10	6756
GTF2IRD1	6499
PAF1	2850
VPS41	7752
ARHGAP44	9322
ELAC2	7002
SCIN	11626
ARSD	7026
PNPLA4	3411
MYH13	6120
ADIPOR2	5831
CDKL3	3149
UPP2	2957
PRSS21	1967
MARK4	6656
PROM1	7457
CCDC124	1661
CEACAM21	1977
PAFAH1B1	13771
NOS2	4399
DNAH9	16941
KIAA0100	9232
SLC13A2	3226
GAS7	10158
TRAPPC6A	933
MATK	4138
CEACAM7	2653
CD79B	2062
SCN4A	8243
ST7L	8108
TKTL1	3526
PAX6	20639
RPUSD1	2769
RHBDF1	4914
LUC7L	6176
CACNA2D2	6508
BAIAP3	6109
TSR3	1210
PIGQ	7856
CRAMP1	8596
TEAD3	3049
SELE	4586
DNAJC11	5083
FMO3	3439
MYLIP	3072
NOX1	2543
E2F2	5462
PSMB1	2219
SYN1	3733
JARID2	6244
CDKL5	19056
CAMK1G	3328
CDK11A	5085
NADK	5570
TFAP2B	6155
TFAP2D	2203
DLEC1	8338
CYTH3	5808
ADAM22	12199
SYPL1	2783
CYB561	5296
SPAG9	11966
CELSR3	13850
AASS	10816
PLEKHG6	4260
SS18L2	3118
MPND	2049
MGST1	7441
CRY1	4782
PGLYRP1	708
NFIX	6435
ST3GAL1	8852
MMP25	4745
IL32	3209
PKD1	18534
MAPK8IP2	5793
MED24	6962
RHOBTB2	6611
HEATR5B	8238
SEC62	7928
RPS20	6765
CSDE1	5778
UBE3C	9215
REV3L	12425
TENM1	12896
PAX7	6473
MASP2	4257
IYD	10362
FAM76A	4046
TRAF3IP3	7750
POMT2	10007
VTA1	7258
MLXIPL	4815
BAZ1B	7060
RANBP9	3618
ETV7	2374
SPRTN	5906
EEF1AKNMT	3831
DYRK4	7054
ZNF207	15818
UQCRC1	3204
STARD3NL	4324
CD9	5829
HHATL	2888
NCAPD2	6470
IFFO1	4945
GIPR	5069
PHF7	3364
SEMA3G	5047
NISCH	9062
STAB1	10588
FUZ	2953
SLC6A13	4243
IDS	9294
PRSS3	1425
ZNF200	7498
CD4	4557
LRRC23	3052
BTK	4575
HFE	5675
SCMH1	4447
FYN	7411
HIVEP2	10655
FMO1	3602
ELOA	5391
LYPLA2	2021
CLCN6	8173
MRC2	6591
NME1-NME2	1241
SLC6A7	4277
TSPAN9	6905
BTBD7	11333
APBA3	5596
MKS1	11285
ABHD5	7539
ANOS1	7082
AKAP8L	8576
MBTD1	7184
UTP18	2703
RNF216	7576
TTC19	6054
PTBP1	7521
DPF1	4800
SYT7	7552
LARS2	12407
PIK3C2A	9204
PLAUR	4457
ANLN	5997
WIZ	10037
RABGAP1	7656
DCN	12941
QPCTL	2825
PPP5C	7089
CEP68	8623
MAP4K3	6056
ZBTB32	2739
TYROBP	907
TMEM159	2558
GABRA3	4150
BRCA1	9306
ERCC1	5575
CD22	6165
SEMA3B	5768
MBTPS2	8945
PRICKLE3	3656
LTF	3989
EXTL3	13046
NR1H4	3628
ELOVL5	3813
ALOX5	3730
KDM5D	9463
CALCOCO1	8898
UBR7	3509
MAP4K5	7620
EHD3	4825
PSMC4	2550
MAN2B2	8884
SLC7A14	10496
CLDN11	4321
SLC25A39	3526
MVP	6141
NUB1	5338
PGM3	7478
RWDD2A	3769
CLK1	5170
POLR3B	4768
ANGEL1	6525
RNF14	4988
DNASE1L1	4132
DDX11	8367
HEBP1	3428
GPRC5A	7663
MAMLD1	5958
CD6	5958
TACC3	8186
UFL1	4539
POLA2	5568
ZC3H3	3721
CAPN1	7506
ACP3	4280
MDH1	4990
SLC30A9	7199
MTMR11	4572
COX15	5215
CCDC88C	12426
YAF2	10839
ZMYND11	5325
WAS	2361
DPEP1	2737
BID	4420
MATR3	12064
NPC1L1	5267
XYLT2	5472
RGPD5	14185
STMN4	3294
NUDCD3	9893
ISL1	2817
CHDH	7787
IL20RA	4730
